13.934,9.2469,15.262,4.9849,3.0574,8.4768,3.6369,0.1379,4.2767,NaN
10.16,5.0546,10.08,3.0684,2.5954,5.9426,3.2228,0.093827,2.5628,NaN
7.6208,3.2528,7.1346,1.9129,1.8952,3.7147,0.91057,0.08715,1.3213,NaN
2.1195,1.0964,3.2869,0.145,0.73346,1.6773,0.5538,0.10385,0.8378,NaN
5.2886,2.4604,2.084,4.7837,2.1607,2.9545,0.088826,0.24644,1.7717,NaN
7.7973,3.169,8.5894,2.187,1.5586,4.079,1.9825,0.087618,1.3749,NaN
0.45047,0.186,0.18011,0.18915,0.099412,0.22152,0.087192,0.085407,0.14459,NaN
3.5989,1.5058,3.2404,0.83468,0.88001,1.5645,0.84353,0.10556,0.094237,NaN
1.1244,0.24582,0.09502,0.36206,0.22207,0.51303,0.097672,0.084266,0.23803,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
