12.577,6.3206,15.2,4.5911,4.1201,8.1349,3.4155,0.099333,4.6528,NaN
9.3066,4.2494,9.3668,3.0302,2.5605,5.5961,3.6113,0.097792,2.9869,NaN
7.4962,2.7467,7.0114,1.8851,1.8165,3.867,0.94425,0.091026,1.6624,NaN
2.0336,0.97066,3.3895,0.10804,0.71424,1.7122,0.58885,0.089354,0.86845,NaN
4.8845,2.1495,1.9278,4.7136,2.296,2.9058,0.094291,0.18249,2.1209,NaN
6.8642,3.0588,8.0711,2.0296,1.6067,4.2923,1.799,0.09262,1.806,NaN
0.32881,0.19417,0.14783,0.19113,0.10972,0.2295,0.086152,0.09932,0.1797,NaN
3.7962,1.5312,3.6194,0.85349,0.87146,1.6567,0.83172,0.084475,0.082084,NaN
1.2361,0.26105,0.096594,0.50769,0.24348,0.65202,0.30807,0.086916,0.2423,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
